stratum_type,stratum_value,n_demotions,missed_90spec,missed_rate_90spec,missed_95spec,missed_rate_95spec
overall,all,2521,1760,0.6981,1946,0.7719
route_class,3UTR,109,109,1.0,109,1.0
route_class,5UTR,65,65,1.0,65,1.0
route_class,missense,1344,904,0.6726,1010,0.7515
route_class,nonsense,674,480,0.7122,532,0.7893
route_class,start/stop_lost,7,6,0.8571,6,0.8571
route_class,synonymous,322,196,0.6087,224,0.6957
dist_bin,exonic_core(>3),2212,1683,0.7608,1846,0.8345
dist_bin,exonic_splice_region(≤3),309,77,0.2492,100,0.3236
fine_bin,4-10,252,156,0.619,182,0.7222
fine_bin,11-25,463,288,0.622,339,0.7322
fine_bin,26-50,449,273,0.608,326,0.7261
fine_bin,51-100,303,240,0.7921,267,0.8812
fine_bin,>100,745,726,0.9745,732,0.9826
gene,BARD1,704,544,0.7727,590,0.8381
gene,BRCA1,426,254,0.5962,283,0.6643
gene,PALB2,937,712,0.7599,772,0.8239
gene,RAD51D,332,171,0.5151,213,0.6416
gene,VHL,122,79,0.6475,88,0.7213
