gene,route_class,direction,n_P,n_B,oddspath_point,oddspath_lo,tier,abstain,abstain_reason,TPR_point,TPR_lo,FPR_point,FPR_hi,n_cl_num,n_cl_den,TNR_point,TNR_lo,FNR_point,FNR_hi,apply_total,apply_LoF,apply_Normal,apply_receiving
BARD1,intronic,BS3,0,40,inf,,uncertain,True,n_P<10,,,,,36,0,1.0,0.902606244085508,,1.0,1859,12,1824,1824
BARD1,intronic,PS3,0,40,,,uncertain,True,n_P<10,,0.0,0.0,0.09739375591449193,0,36,,,,,1859,12,1824,12
BARD1,missense,BS3,1,12,inf,,uncertain,True,n_P<10,,,,,12,1,1.0,0.7353515306029488,0.0,0.975,4652,596,3933,3933
BARD1,missense,PS3,1,12,inf,,uncertain,True,n_P<10,1.0,0.025,0.0,0.2646484693970512,1,12,,,,,4652,596,3933,596
BARD1,nonsense,BS3,87,0,,,uncertain,True,n_B<10,,,,,0,83,,0.0,0.011494252873563218,0.06530837355134447,281,279,2,2
BARD1,nonsense,PS3,87,0,inf,,uncertain,True,n_B<10,0.9885057471264368,0.9346916264486556,,1.0,83,0,,,,,281,279,2,279
BARD1,splice_region,BS3,43,60,inf,8.072098370457551,Moderate,False,,,,,,54,30,1.0,0.9339684857555782,0.0,0.11570330822202778,824,243,561,561
BARD1,splice_region,PS3,43,60,inf,13.3920401780378,Moderate,False,,1.0,0.8842966917779722,0.0,0.06603151424442182,30,54,,,,,824,243,561,243
BARD1,synonymous,BS3,0,488,inf,,uncertain,True,n_P<10,,,,,418,0,0.985655737704918,0.965801704812482,,1.0,859,11,839,839
BARD1,synonymous,PS3,0,488,,,uncertain,True,n_P<10,,0.0,0.0020491803278688526,0.013256627519783999,0,418,,,,,859,11,839,11
BRCA1,5UTR,BS3,0,2,inf,,uncertain,True,n_P<10,,,,,2,0,1.0,0.15811388300841897,,1.0,45,0,43,43
BRCA1,5UTR,PS3,0,2,,,uncertain,True,n_P<10,,0.0,0.0,0.841886116991581,0,2,,,,,45,0,43,0
BRCA1,intronic,BS3,0,36,inf,,uncertain,True,n_P<10,,,,,32,0,0.9444444444444444,0.7919305701049926,,1.0,297,1,288,288
BRCA1,intronic,PS3,0,36,,,uncertain,True,n_P<10,,0.0,0.0,0.10888116067935288,0,32,,,,,297,1,288,1
BRCA1,missense,BS3,142,19,134.52631578947367,13.981162335439873,Moderate,False,,,,,,19,103,0.9473684210526315,0.7397193458047858,0.007042253521126761,0.05290828674020349,1916,290,1459,1459
